label,sample_id,timestamp_ms,ax,ay,az,gx,gy,gz
wave_right,135,1491164,0.2905,0.3821,0.7322,35.3817,9.0611,-23.626
wave_right,135,1491184,0.428,0.4675,0.6865,29.1603,14.1298,-19.4427
wave_right,135,1491204,0.4578,0.4089,0.7688,25.5725,20.8092,-31.5802
wave_right,135,1491224,0.366,0.4878,0.8088,25.9008,9.7557,-42.0153
wave_right,135,1491244,0.4006,0.6665,0.7964,22.0076,-5.8473,-32.0153
wave_right,135,1491264,0.4675,0.7136,0.7485,9.1221,-1.3282,-25.5496
wave_right,135,1491284,0.5242,0.6833,0.7876,-0.855,18.4198,-36.0458
wave_right,135,1491304,0.4651,0.7485,0.8521,-6.1527,23.3435,-55.9389
wave_right,135,1491324,0.3577,0.877,0.8831,-17.4733,19.0992,-69.6336
wave_right,135,1491344,0.2959,0.9629,0.9182,-32.7405,3.9695,-76.5802
wave_right,135,1491364,0.3474,0.9058,0.8425,-49.4046,-5.9618,-79.2443
wave_right,135,1491384,0.3557,0.8457,0.7827,-65.1069,-6.7099,-96.5496
wave_right,135,1491404,0.304,0.8669,0.8538,-76.9847,-13.9313,-95.7328
wave_right,135,1491424,0.2205,0.8782,0.8799,-83.542,-38.1908,-82.1298
wave_right,135,1491444,0.2529,0.8179,0.7322,-97.3664,-59.0687,-56.1145
wave_right,135,1491464,0.3564,0.6406,0.7249,-106.7634,-66.5878,-44.4427
wave_right,135,1491484,0.4014,0.6235,0.7209,-110.4427,-71.5496,-50.3893
wave_right,135,1491504,0.4216,0.5469,0.709,-114.0611,-73.2672,-53.1145
wave_right,135,1491524,0.4167,0.5669,0.7124,-120.4733,-81.1221,-50.9847
wave_right,135,1491544,0.4473,0.5969,0.6855,-131.8702,-89.542,-35.6412
wave_right,135,1491564,0.5842,0.4185,0.6492,-142.3664,-88.9924,-15.687
wave_right,135,1491584,0.6389,0.2871,0.6523,-146.7481,-87.8321,-14.771
wave_right,135,1491604,0.6614,0.2573,0.6648,-146.1221,-87.8397,-28.0611
wave_right,135,1491624,0.6555,0.342,0.6548,-152.0611,-89.7481,-8.1527
wave_right,135,1491644,0.6997,0.2473,0.6106,-160.0076,-88.6565,23.4275
wave_right,135,1491664,0.78,0.0752,0.6108,-168.8244,-82.2824,41.771
wave_right,135,1491684,0.8074,-0.0444,0.5518,-164.6107,-67.9542,29.3817
wave_right,135,1491704,0.7522,-0.0559,0.6265,-158.145,-62.7405,25.3053
wave_right,135,1491724,0.7217,-0.0386,0.6367,-158.7557,-67.2214,39.4733
wave_right,135,1491744,0.7878,-0.1753,0.5549,-161.8855,-56.1145,31.916
wave_right,135,1491764,0.7825,-0.231,0.5779,-160.0229,-39.0534,19.458
wave_right,135,1491784,0.7117,-0.2749,0.6172,-154.9771,-37.5115,20.2137
wave_right,135,1491804,0.6812,-0.3274,0.603,-153.8626,-43.1527,43.9466
wave_right,135,1491824,0.5691,-0.3882,0.5557,-157.1145,-48.0763,69.2595
wave_right,135,1491844,0.7244,-0.7397,0.5574,-147.0153,-55.0763,75.1603
wave_right,136,1494016,0.9402,0.2446,0.479,-2.9618,1.2366,0.229
wave_right,136,1494036,0.9375,0.2549,0.4917,-3.1756,-1.3435,0.3511
wave_right,136,1494056,0.9431,0.3406,0.5066,-12.4198,-9.0534,3.2137
wave_right,136,1494076,0.9937,0.1453,0.5625,-22.374,-25.229,-1.9389
wave_right,136,1494096,1.1135,-0.0273,0.5225,-16.7863,-39.6412,-33.084
wave_right,136,1494116,1.2107,0.0671,0.3369,-6.6947,-8.5344,-81.9008
wave_right,136,1494136,1.0718,0.3035,0.1714,1.0305,58.687,-102.1069
wave_right,136,1494156,1.1987,0.083,0.3118,35.3893,94.0229,-34.6107
wave_right,136,1494176,1.0513,0.2026,0.4441,39.8092,138.4122,-60.8473
wave_right,136,1494196,1.0337,0.3616,0.5774,33.2443,136.916,-27.4122
wave_right,136,1494216,0.9854,0.3315,0.5803,47.7252,139.145,-8.0076
wave_right,136,1494236,0.9041,0.3425,0.7178,49.3969,127.9542,29.916
wave_right,136,1494256,0.7996,0.1384,0.8418,56.5878,106.3053,33.8321
wave_right,136,1494276,0.6785,0.2249,0.8091,65.1374,78.0916,18.084
wave_right,136,1494296,0.6807,0.3687,0.6497,64.8092,68.7786,11.9924
wave_right,136,1494316,0.7729,0.3479,0.7449,66.7099,70.4885,-12.9008
wave_right,136,1494336,0.6846,0.5161,0.781,66.7939,60.5878,-27.6336
wave_right,136,1494356,0.6387,0.7485,0.7136,58.4198,51.0687,-21.542
wave_right,136,1494376,0.7139,0.7773,0.7639,48.6565,52.9847,-25.0076
wave_right,136,1494396,0.7358,0.7981,0.7473,37.1069,58.6031,-47.1603
wave_right,136,1494416,0.6545,0.8914,0.7971,23.7786,53.4351,-50.626
wave_right,136,1494436,0.5767,0.9014,0.7407,6.8779,43.6641,-48.0076
wave_right,136,1494456,0.6509,0.863,0.6812,-8.0763,43.771,-51.4656
wave_right,136,1494476,0.6401,0.7202,0.7187,-18.5344,47.0,-73.084
wave_right,136,1494496,0.5239,0.7759,0.7261,-23.8931,39.916,-84.4809
wave_right,136,1494516,0.3989,0.8171,0.7278,-34.0382,22.8397,-64.2443
wave_right,136,1494536,0.4563,0.7187,0.6453,-44.2137,15.6947,-58.5649
wave_right,136,1494556,0.4468,0.7031,0.6804,-48.3435,19.0229,-71.4809
wave_right,136,1494576,0.2927,0.8096,0.7378,-52.771,12.542,-74.2901
